Date,Open,High,Low,Close
3/25/2015,104.660004,106.199997,104.330002,105.669998
3/26/2015,106.279999,106.519997,104.160004,105.25
3/27/2015,104.989998,104.989998,103.669998,104.279999
3/30/2015,104.970001,107.209999,104.970001,106.900002
3/31/2015,105.620003,106.07,104.879997,104.980003
4/1/2015,105.769997,106.220001,104.5,104.790001
4/2/2015,104.449997,105.68,104.080002,105.279999
4/6/2015,106.029999,107.860001,105.220001,106.919998
4/7/2015,106.970001,109.089996,106.620003,108.540001
4/8/2015,108.860001,108.919998,106.519997,106.660004
4/9/2015,106.800003,107.239998,106.18,106.949997
4/10/2015,107.470001,107.660004,106.809998,106.910004
4/13/2015,107.349998,107.900002,106.440002,106.5
4/14/2015,107.699997,109.089996,107.260002,108.839996
4/15/2015,109.589996,110.690002,109.379997,110.410004
4/16/2015,109.900002,110.940002,109,110.160004
4/17/2015,109.360001,109.690002,108.260002,109.110001
4/20/2015,109.57,111.709999,109.550003,110.290001
4/21/2015,110.050003,110.739998,109.309998,109.730003
4/22/2015,110.050003,110.440002,109.209999,109.5
4/23/2015,110,110.650002,109.599998,109.970001
4/24/2015,109.669998,110.040001,109.029999,109.870003
4/27/2015,110.339996,110.739998,109.540001,109.699997
4/28/2015,110.050003,111.239998,109.650002,111.120003
4/29/2015,110.82,111.989998,110.68,111.730003
4/30/2015,112.040001,112.199997,110.440002,111.059998
5/1/2015,110.279999,110.800003,108.339996,109.040001
5/4/2015,109.379997,109.410004,107.989998,108.32
5/5/2015,109.239998,109.93,108,108
5/6/2015,109.239998,109.529999,107.300003,107.949997
5/7/2015,107.690002,108.199997,106.690002,107.57
5/8/2015,108.290001,108.800003,107.400002,108.650002
5/11/2015,108.650002,108.690002,107.300003,107.360001
5/12/2015,107.440002,108,107.099998,107.559998
5/13/2015,107.980003,108.470001,107.300003,107.699997
5/14/2015,108.019997,109.300003,108.019997,108.449997
5/15/2015,107.209999,108.330002,106.940002,108.029999
5/18/2015,107.5,107.510002,106.580002,106.650002
5/19/2015,106.050003,106.309998,105,105.019997
5/20/2015,105.419998,105.900002,104.760002,105.25
5/21/2015,105.970001,106.269997,105.300003,105.489998
5/22/2015,105.089996,105.550003,104.860001,104.889999
5/26/2015,104.220001,104.440002,102.93,103.290001
5/27/2015,103.199997,103.779999,102.730003,103.110001
5/28/2015,102.959999,103.419998,102.379997,103.239998
5/29/2015,103.139999,103.57,102.669998,103
6/1/2015,103.470001,103.75,102.489998,102.629997
6/2/2015,102.650002,103.110001,102.110001,102.580002
6/3/2015,102.400002,103.379997,102.120003,102.169998
6/4/2015,101.889999,102.370003,100.980003,101.389999
6/5/2015,101.18,103.099998,100.989998,101.589996
6/8/2015,101.290001,101.389999,99.949997,100.419998
6/9/2015,100.699997,101.25,100.220001,100.419998
6/10/2015,102.519997,102.580002,101.519997,101.830002
6/11/2015,101.870003,102.199997,100.940002,101.120003
6/12/2015,100.519997,100.690002,99.629997,99.870003
6/15/2015,99.449997,100.059998,99.129997,99.290001
6/16/2015,99.199997,100.449997,98.809998,100.040001
6/17/2015,100.830002,101.169998,99.519997,99.760002
